,Data_value,tot_pop,male_pop,female_pop,median_age,median_age_male,median_age_female,employ_status_tot,employ_status_working,employ_status_working_civ,employ_status_working_civ_employed,employ_status_working_civ_unemployed,employ_status_working_military,employ_status_not_working,birth_ed_tot,birth_ed_less_than_high,birth_ed_high,birth_ed_some_coll,birth_ed_batchelors,birth_ed_graduate,birth_income_tot,birth_income_none,birth_income_with _income,birth_income_less_10K,birth_income_10_15K,birth_income_15_25K,birth_income_25_35K,birth_income_35_50K,birth_income_50_65K,birth_income_65_75K,birth_income_more_75K,trans_tot,trans_car_truck_van_alone,trans_car_truck_van_pool,trans_public,trans_walked,trans_taxi_bike_other,trans_worked_home,occupation_tot,occupation_manage_bus_science_arts,occupation_service,occupation_sales_office,occupation_resources_construct_maint,occupation_production_transport,occupation_military,industry_tot,industry_ag_forestry_fish,industry_construction,industry_manufact,industry_wholesale,industry_retail,industry_trans,industry_information,industry_finance_insure_realestate,industry_professional_scientific_management,industry_education_health_care,industry_arts_entertatinment,industry_other_services,industry_public_admin,industry_military
Alcohol Consumption-Alcohol Consumption-Adults who have had at least one drink of alcohol within the past 30 days-Yes,1.0,-0.010259147233039199,-0.009010075138863333,-0.011475288103486818,0.2109022271851005,0.2542464869215689,0.17496957819137263,-0.00454208566740593,0.01732030603857184,0.017975965907634502,0.021017807756480964,-0.016605892305169286,-0.0684304138695709,-0.04198008436622588,-0.022576375364146608,-0.07417957493184983,-0.05753126847471899,-0.029923991111193284,0.031095342907149808,0.054443763999013996,-0.02540343596064276,-0.058753560851526734,-0.018661496199082833,-0.05338315292491934,-0.05850547469369425,-0.05072147268482883,-0.038182604414880215,-0.01474185946517432,0.015398608051559851,0.04204034820827215,0.05857548817825115,0.019600310884566412,-0.0035004144169743065,-0.011045309640251261,0.11853340656485024,0.13857094236488862,0.06308970125990958,0.07144945703417312,0.020141737800099885,0.05137826290267004,0.02174243254609393,0.008875876255573107,-0.023691145766747374,-0.023498435329048564,-0.06603112996196865,0.020141737800099885,-0.04243990987924823,-0.007468164094557957,0.009125072548269011,0.02424407979953989,0.0032079358828551903,-0.007654657126134376,0.0510628365794579,0.05836884704907484,0.05109274784797002,0.03320937485872101,0.019600235131701758,0.010320743497802706,-0.01945191518077696,-0.06852494533850902
Alcohol Consumption-Alcohol Consumption-Adults who have had at least one drink of alcohol within the past 30 days-No,1.0,0.010012538240248902,0.00875976303991319,0.011232325821496646,-0.21100810201226056,-0.2544642655117085,-0.1750055912127246,0.0042997262902463584,-0.01757460397541165,-0.018235121353427395,-0.02128525590255072,0.01644442682096209,0.0688467619346549,0.04175957528536728,0.022402048355479327,0.07398337546553539,0.0572605261710722,0.029798467372701937,-0.03123268659869803,-0.05454344298518633,0.025226631802548086,0.058570533591594844,0.01848640141804307,0.053180873800994906,0.058293892786332534,0.0505154260128607,0.0380016684476072,0.014570742629598406,-0.015558382105294442,-0.04218472977024202,-0.05866942824392995,-0.019862848261327025,0.0032288760527443916,0.01082265662525014,-0.118667791189128,-0.13877899133161545,-0.06336829711639187,-0.07163950047057567,-0.020404835075044567,-0.05158802099053982,-0.022011438418896325,-0.00917442128819087,0.023458408390950248,0.023110863974097645,0.06648929948173045,-0.020404835075044567,0.042206560886617096,0.007230392026443823,-0.009515207474562954,-0.02453718932690169,-0.0034910635408394383,0.007305836809014144,-0.0513084057929868,-0.05870767342038752,-0.05126144477214373,-0.03348347763775248,-0.019893237065772642,-0.010564778614292981,0.019538563326358654,0.0689476602833047
"Alcohol Consumption-Binge Drinking-Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)-Yes",1.0,-0.11351798034063271,-0.1109265019340152,-0.11602740658109084,-0.09048338621372876,-0.04888396168980772,-0.1187489210728878,-0.11279750683087307,-0.09318971149282873,-0.09248031522078308,-0.08960532858609095,-0.12338758965166625,-0.15455634715266617,-0.14575018769131773,-0.12195465214675866,-0.15112772139344852,-0.14539478138775747,-0.1154240007691067,-0.08662589824037387,-0.09008549958704677,-0.12162122582397147,-0.1468879852208459,-0.11624485180226772,-0.13880358187422917,-0.14825714253828262,-0.1383479958117254,-0.12625894771952523,-0.10739945980076863,-0.08509324519326594,-0.06965067123281514,-0.06872702540450848,-0.09076756905777272,-0.09940450633527677,-0.10434367668377934,-0.017127688729797027,0.007780751089115684,-0.05489798390588229,-0.06536481358233011,-0.0903767648728177,-0.07550214256780172,-0.09435913831246184,-0.10046752609710992,-0.11394745261680952,-0.08328592205667917,-0.15557721282728376,-0.0903767648728177,-0.03368207860817501,-0.11083757809250022,-0.0358606710194613,-0.0718549417063486,-0.10758857688291482,-0.1020349809541993,-0.08506835670354218,-0.07079436379740678,-0.08369726680333862,-0.0876723740070621,-0.09881024385840201,-0.098156631354575,-0.14119216154757236,-0.15470712098505093
"Alcohol Consumption-Binge Drinking-Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)-No",1.0,0.11334085472300401,0.11074623919900722,0.11585336557287484,0.09084388204605781,0.04907049552944863,0.11926183868356979,0.11262076910614799,0.09300603864457635,0.09230066051491005,0.08943196428491992,0.1231399420820201,0.15392849501356223,0.1455863493152695,0.12175963688502783,0.1508118914012216,0.14550367827704122,0.11523772644841275,0.08628333062225875,0.0896786997312318,0.12142511792166975,0.14654017129498606,0.11607962352746724,0.13871459030952638,0.14810763810559427,0.13823591250679898,0.1261872632283167,0.10730699942380077,0.08491834640339903,0.06946441393754586,0.06830431255641617,0.0905891247974207,0.09935232617769593,0.10403944578889773,0.016599701827735625,-0.00819907932006201,0.054352715745346655,0.0649343706061936,0.0901996095900266,0.07525758131571773,0.09415499941730676,0.100290016649384,0.1137036578197389,0.08345737326485843,0.15494054948492195,0.0901996095900266,0.03356318464352588,0.11051484958357727,0.03621202010702334,0.0716939021729751,0.1074317897014855,0.10181218964651205,0.08469403553179743,0.07055746465452903,0.08330621146050822,0.08755416319921099,0.09858903631431527,0.09791272446756291,0.1408897008763557,0.15407776400128745
Alcohol Consumption-Heavy Drinking-Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)-Yes,1.0,-0.1169310488175848,-0.11453433141223493,-0.11925010269348742,0.15140715189356255,0.21851156783310627,0.0959376510048281,-0.11370877388435056,-0.10440896043619116,-0.10432843467118282,-0.10338292336698607,-0.11329279950052924,-0.08504213444278115,-0.12899213681990862,-0.12821925180025967,-0.13992689455622176,-0.15082035115738335,-0.11398822920496078,-0.10883577886802379,-0.11407984776004623,-0.12999419064105636,-0.13882932537022533,-0.12788477981822216,-0.14113288339253136,-0.13478191373128032,-0.13091820065463372,-0.13047035114220054,-0.1258581546434132,-0.11956651050908275,-0.10860624167772713,-0.106956897467898,-0.10388867527330546,-0.10490861731386585,-0.09663298115163277,-0.09268455805122372,-0.05176202158279275,-0.02993363351074618,-0.05461955510224269,-0.10362201341650706,-0.09803187434912292,-0.092581292507572,-0.10666211105643417,-0.10933588454703505,-0.12224168081843845,-0.08338969500325188,-0.10362201341650706,-0.060309242923326976,-0.10636562920782884,-0.09906815737029974,-0.09523153806351195,-0.10570209525047872,-0.11983029483678793,-0.10522876030177195,-0.09959319940870123,-0.08465258617292964,-0.11443068418592672,-0.07115071328905091,-0.10174107092877162,-0.14053156112415222,-0.08483751581138545
Alcohol Consumption-Heavy Drinking-Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions)-No,1.0,0.1154140517894169,0.11303225560935791,0.11771878539586698,-0.14856168421286278,-0.21522116694030344,-0.09327880322019592,0.11218193873309948,0.10306104139689386,0.1030001359827237,0.10206700559428773,0.11184650355177038,0.0816518989182234,0.12716747480649673,0.12662933021609,0.13803776872090584,0.1492320107749366,0.112442397537151,0.10752795746404767,0.11254959576099403,0.12841043488794546,0.1370775777141233,0.1263388033586181,0.1393908345725405,0.13297372842050512,0.12932330060418779,0.1289092727653397,0.12447619523468705,0.11833213770030988,0.10736260765313965,0.10558158020954757,0.1025610484452503,0.10351930229131696,0.09491393517366462,0.09263168385653302,0.05124169308933002,0.028368503558243215,0.0533196584167023,0.1022907071983889,0.0966690931467228,0.09103667010714583,0.10535042688979404,0.10759508185632172,0.12181807096343353,0.08013789494392924,0.1022907071983889,0.05921060018591291,0.10458107650215774,0.09933985828960533,0.09438993520033115,0.10423403497441097,0.11890460184230556,0.10378176026097584,0.09852962304247227,0.08307695077932435,0.11311391996144779,0.06946843389434088,0.1001745504241357,0.13821145620585423,0.08144551307123496
Chronic Health Indicators-Arthritis-Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions)-Yes,1.0,-0.19844653097788978,-0.2023197256580478,-0.19464117705745368,0.5633710600973113,0.550918728372617,0.5768431596766199,-0.19041125744523166,-0.21006205845630713,-0.20911086958712066,-0.2107800764404769,-0.18689861578498718,-0.2684599088672748,-0.15564338679147952,-0.19064834595927932,-0.21851378000668217,-0.08338535704131811,-0.19798633155226877,-0.24966806330962935,-0.23328317129983317,-0.1949536436228027,-0.22770330299480035,-0.18788714818531121,-0.1544493111810435,-0.15296133348898328,-0.1559810539138051,-0.15662458574557092,-0.17223933269773073,-0.21087542784508317,-0.23384771205569016,-0.2825586746903253,-0.21177806674451763,-0.18420963257605216,-0.23903659170040903,-0.19939558137693042,-0.22952579949368287,-0.3000307206395781,-0.26706164375970437,-0.21151067619335007,-0.23228375276042526,-0.2141795578423917,-0.20829692250151172,-0.22352588872110454,-0.11884227472509074,-0.278613930101161,-0.21151067619335007,-0.27359038022855464,-0.24257522688382102,-0.06902054912197574,-0.2322417224650735,-0.19130221086093782,-0.20846870196073747,-0.2675435040328358,-0.24214310970733838,-0.2630938009495637,-0.18373059813612477,-0.22447070919798714,-0.22474004583929244,-0.23042367662880311,-0.2677061433952835
Chronic Health Indicators-Arthritis-Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions)-No,1.0,0.2030372542887445,0.2069108405435497,0.19923083530407484,-0.5637456954563757,-0.5514459967543496,-0.5770742576772849,0.19496986627000765,0.21468664185859632,0.21374512925298492,0.21542793984849956,0.1913042694394799,0.27059286665015964,0.16006275690622,0.19516068108125662,0.22312512250518807,0.08778946504817467,0.2023850391306573,0.2540896455261567,0.23769872836226413,0.19949619634835272,0.23223977378650115,0.19241900277913618,0.15899626060168934,0.15735088541971895,0.1604165917899897,0.16107496508013694,0.17675439764854478,0.21550459812837358,0.23843629362259022,0.2870228534064407,0.21641614868415204,0.18860820310147908,0.24340102602034025,0.20343462698786804,0.23418344698393725,0.3042735902149062,0.2712250307715649,0.21614958812590507,0.23684947341613186,0.2187780739294124,0.2128600715494662,0.22803931885743386,0.12381035248427831,0.2808530237634148,0.21614958812590507,0.2777578898787119,0.24705765820357412,0.07382559308209999,0.23690001429686183,0.19578972309566314,0.2132965758235336,0.2720183744461548,0.24676287671486338,0.2673899295671304,0.18850531299020612,0.22879061319346508,0.2293357826271327,0.23441028558604143,0.2698226094582983
Chronic Health Indicators-Asthma-Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions)-Yes,1.0,-0.2275301347965747,-0.2304308574263262,-0.2246684739313925,0.4735478006419158,0.4829356251197433,0.4550959193758209,-0.2181440550145823,-0.22422451518652442,-0.22207582253572927,-0.22353239715244919,-0.20204998701341007,-0.42638598560367985,-0.20647146529346985,-0.2109961803768472,-0.25666019442068955,-0.1640086027875543,-0.23501224614339283,-0.21833306227212584,-0.14616130049448153,-0.21361374924893275,-0.2559505189862602,-0.20457936708222743,-0.19653808046256377,-0.21588230840675993,-0.21832068481284175,-0.2109814082896817,-0.20175532205293462,-0.1910350005497761,-0.17444883159255864,-0.19406050591981958,-0.22728925640504546,-0.2571109933929965,-0.28471700287437324,0.0834862982230106,0.012587708087230042,-0.2341478272054893,-0.25317523440415685,-0.22650587165579988,-0.21054648822287533,-0.2184179675616164,-0.23476797621339549,-0.2931707505293645,-0.196352408459184,-0.43672363617480153,-0.22650587165579988,-0.36454082257304266,-0.30052447567446217,-0.12111315784480742,-0.2523030118098507,-0.23572895554598727,-0.25335356406818116,-0.19943456802710166,-0.21686532516834595,-0.23895328717378111,-0.17113569507229992,-0.24433598329265788,-0.24233679000606761,-0.25349699897673855,-0.4265194707353818
Chronic Health Indicators-Asthma-Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions)-No,1.0,0.22916424054086987,0.23212007849040645,0.22624860682526313,-0.4738058248733468,-0.4830102223336626,-0.4556930056644821,0.21961364660255098,0.22573826904954622,0.22356945091529853,0.22509596608778717,0.20273093775182138,0.42995783501833085,0.20785693834019894,0.21242520488571937,0.25871595187034335,0.16523177626186317,0.23680753328010185,0.21946563964096802,0.146552369235225,0.21510003969489028,0.2577558769749584,0.2059978948498818,0.19804441352491947,0.2169881289062427,0.21982262379791856,0.21253888831309084,0.20327619087027582,0.19266852338714005,0.17588308040880873,0.19511829611442177,0.22890802489878082,0.2589748434113721,0.28700387990953546,-0.0840298662392148,-0.012494743939834175,0.23513554903332773,0.2540288615877717,0.228116361697991,0.21179017235690895,0.22006802292290828,0.23632658409180718,0.2958839004827797,0.1981097929930762,0.44070665120271924,0.228116361697991,0.3688084510097837,0.30331316734346914,0.12219209201921899,0.2539906391691136,0.23742564788314044,0.2555168170495347,0.199708897307741,0.2179389330865216,0.24021523271705544,0.17226560370451963,0.24634214914007915,0.24400516274777362,0.2549895156628581,0.4300871098862815
